id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2280,OZLGX9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2281,OZLI19,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2282,OZLIR8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2283,OZLIS8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2284,OZLJ18,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2285,OZLJQ7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2286,OZLKO8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2287,OZLKOE,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2288,OZLKQ9,131,131,131,131,139,300,39300,0,0,2,144022,12,0,0,0,0
2289,OZLNW7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2290,OZLQO8,49,49,45,46,103.5,53,2488,0,0,3,153931,12,0,0,0,0
2291,OZLYI7,133,133,133,133,82,100,13300,0,0,1,131345,12,0,0,0,0
2292,OZLYJ7,79,79,79,79,161,100,7900,0,0,1,131323,12,0,0,0,0
2293,OZM,0,0,0,0,0,0,0,0,0,0,,0,0,24106,0,2
2294,OZR,0,0,0,0,0,0,0,1401,2073,0,,0,1065,196,2,0
2295,PAA,8.9,8.9,8.4,8.4,8.9,481652,41383,8.5,8.7,30,145657,8,1588,31177,1,1
2296,PAAO,1.6,1.6,1.6,1.6,1.4,3928,63,1.3,1.6,1,161049,8,99999,96072,1,1
2297,PAB,0,0,0,0,0,0,0,0,0,0,,0,0,476190,0,2
2298,PABOA,0.9,0.9,0.9,0.9,0.8,91444,823,0.8,0.9,1,100654,8,64445,205556,1,1
2299,PAC,0,0,0,0,0,1061,7726,0,0,19,100831,0,8392,231,2,0
2300,PAI,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
